#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
Blautia_A wexlerae PLC194.32	335868	107915	13021	78329	53789	81963	130657	120583	32467	19600	44358	88614	34981	165133	30719	0	88188	12465	187872	144935	203640	233230	179092	750397	29781	151997	82372	118753	86085	0	62660	115854	33822	18341	0	83695	28102	197241	11800	145611	123025	117269	13315	33410	45468	19631	223657	20563	25263	45231	27196	56818	0	203819	35045	0	73470	150771	31877	5481	180911	91208	48427	252267	15255	545002	4942	124858	59053	108510	13793	127037	14309	423727	168527	55850
Dorea_A longicatena_B PLC199.5	7239	0	0	148953	20661	29996	13616	85729	6215	12593	26034	36517	62486	0	5292	1683	13882	0	6591	67780	41181	18989	15625	195345	11089	98348	26692	59819	44093	16291	23924	47456	7242	4160	2794	13062	33994	79317	14095	28802	731	39387	0	11203	16283	0	0	12402	20398	0	26544	12714	13639	99588	17487	1669	4956	46751	55357	0	0	14912	28355	14661	5191	68906	0	56166	2908	25680	17057	3065	29031	151312	98352	8822
Varibaculum cambriense_A PLC200.13	3269	1267	6152883	4993	1451	3829	2213	2785	69496	0	3155	2517	5056	1358	0	0	1308	1569	6363	3417	451	2960	2559	10403	1702	3923	832	2738	2295	7338	1429	3333	787	1432	2840	0	4323	3986	2204	3269	2561	2676	1434	1343	1698	0	2577	845	2039	1675	1093	1182	0	3110	0	1223	4246	2970	8270	558	3798	1687	1094	9123	1182	2853	0	3131	1045	710	1570	4945	1184	2776	3188	1049
Winkia sp002849225 PLC200.9	20392	4089	504105	18221	4667	16293	16511	155627	8971	2014	18104	2592	7720	4313	2573	881	18344	7643	28240	53386	15562	24016	22884	33114	7018	9232	5152	59829	54634	6038	1708	13505	36625	10570	69175	1959	50749	13807	86402	10237	8833	31956	121575	144668	27074	75206	5304	106239	114903	9846	10758	13445	57605	20134	79107	94027	65909	28250	8825	217627	40696	18747	6313	2540	6464	54756	194737	6726	11983	5774	6649	88379	6502	5034	16891	10827
Bilophila wadsworthia PLC201.2	111184	19556	1040	5637	51497	9384	26988	0	87393	117346	108703	18521	76276	13496	9994	21210	63572	8023	4813	30333	9619	10469	22297	2617	3159	0	2044	191972	41163	47149	14584	7386	1344	0	0	8260	34985	11393	102260	689	32464	2841	0	1131	5588	0	6336	6463	0	1841	5172	1898	0	43353	551	0	0	197128	30572	0	0	1131	22326	94329	2333	0	0	15403	0	6001	149394	13066	68897	173368	12372	71167
Faecalibacterium sp900539945 PLC201.23	7586	206938	1794	2168	446618	526060	866798	0	14416	115403	31533	286993	990154	146157	25340	1548	276324	88539	247450	16202	24664	4235	4452	14712	1061299	3101	1279504	18786	14342	536758	148522	58703	112925	19392	8497	1088069	8763	110746	7322	313898	25047	298597	0	0	18763	2967	186389	109355	0	4886	945339	201376	27912	122707	23094	2347	2527	55515	11140	840	8176	279758	556104	253534	725027	16227	910	831774	4495	649774	476377	278274	709443	392431	524664	530337
Dialister succinatiphilus PLC203.25	0	24641	0	3066	12472	24493	32384	2900	2467	14221	9652	10604	16316	19278	6145	0	22609	16882	11885	9642	1578	12268	13053	20837	62077	1188	56747	16015	10494	4377	5584	20618	3671	5875	0	22391	2221	4460	4367	32462	23486	17202	0	0	0	0	14961	7129	0	0	36761	7411	0	25021	0	0	10823	37877	0	1486	7219	29366	20077	35290	42313	4135	0	49252	2227	69984	41722	15669	23004	37014	38700	38149
Holdemanella sp900556915 PLC204.18	144294	16024	1236	14771	86885	473105	13968	4741	15698	442935	89855	6145	32059	12349	422857	97098	27797	58414	38218	0	253591	4855	4186	28419	12081	0	331906	0	0	68023	5485	0	41407	15321	4644	18039	214852	0	23242	214859	1654403	10248	2603	4987	39391	1056	7340	36711	17501	61604	5664	57537	36967	135167	1426	2351	3543	0	9777	4287	34578	138341	39054	4702	11230	45782	2620	16426	0	36085	8403	19337	1399	20901	40608	7817
Copromonas sp900066535 PLC205.14	10194	9235	2298	547661	17520	3696	11623	2950	65963	14213	38503	4700	3185	7682	2689	182095	47902	6029	2642	65992	2482	17813	55744	41582	1932	6803	11883	86076	28929	5193	3994	2190	5295	697	562	2031	15474	2817	2993	15798	23609	1654	2188	1897	184497	1139	6081	17505	0	19367	7509	2744	925	2234	9867	0	2365	9907	1450	0	6316	14064	15313	4068	1481	72997	0	4558	921	9376	10087	2741	36601	2936	3028	25753
Faecalibacterium longum PLC205.15	12281	95426	6444	2214399	73172	74531	99626	0	37467	2769	138917	28111	230374	72661	0	0	64196	162534	35796	12611	1557	2559	497	33680	199559	0	153062	16206	10001	153283	14420	17141	14986	0	0	100098	9440	34053	7520	57281	17288	75292	0	17796	15535	0	108097	34166	0	5289	61561	31231	0	62327	0	0	3252	55658	10630	878	0	56201	192902	41971	149136	4359	108289	128337	1726	108855	72645	47396	70030	30324	91073	102925
