user_genome	classification	ID
PLC258.24	Coprococcus sp000154245	Coprococcus sp000154245 PLC258.24
PLC258.30	Roseburia hominis	Roseburia hominis PLC258.30
PLC258.32	Eisenbergiella sp900066775	Eisenbergiella sp900066775 PLC258.32
PLC258.35	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC258.35
PLC258.41	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC258.41
PLC258.42	Christensenellales	Christensenellales PLC258.42
PLC258.45	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans PLC258.45
PLC259.12	Mediterraneibacter torques	Mediterraneibacter torques PLC259.12
PLC259.17	Thomasclavelia ramosa	Thomasclavelia ramosa PLC259.17
PLC259.20	Coprobacillus cateniformis	Coprobacillus cateniformis PLC259.20
PLC259.24	Clostridia	Clostridia PLC259.24
PLC260.15	TANB77	TANB77 PLC260.15
PLC260.16	Alistipes putredinis	Alistipes putredinis PLC260.16
PLC260.25	Lachnospira eligens_A	Lachnospira eligens_A PLC260.25
PLC260.26	Ruminococcus_C sp000433635	Ruminococcus_C sp000433635 PLC260.26
PLC260.31	Megamonas funiformis	Megamonas funiformis PLC260.31
PLC262.1	Collinsella sp003465825	Collinsella sp003465825 PLC262.1
PLC262.3	Bacteroides uniformis	Bacteroides uniformis PLC262.3
PLC262.7	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC262.7
PLC264.16	Bifidobacterium longum	Bifidobacterium longum PLC264.16
PLC264.18	Romboutsia timonensis	Romboutsia timonensis PLC264.18
PLC264.21	Bacteroides fragilis	Bacteroides fragilis PLC264.21
PLC265.11	Fimenecus sp000432435	Fimenecus sp000432435 PLC265.11
PLC265.12	Mesosutterella multiformis	Mesosutterella multiformis PLC265.12
PLC265.6	Eubacterium_R sp000434995	Eubacterium_R sp000434995 PLC265.6
PLC266.1	Flavonifractor plautii	Flavonifractor plautii PLC266.1
PLC266.10	Collinsella	Collinsella PLC266.10
PLC266.12	Parabacteroides distasonis	Parabacteroides distasonis PLC266.12
PLC266.14	Clostridium_Q sp000435655	Clostridium_Q sp000435655 PLC266.14
PLC266.3	Blautia sp900541955	Blautia sp900541955 PLC266.3
PLC267.14	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC267.14
PLC267.20	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC267.20
PLC267.21	Parasutterella gallistercoris	Parasutterella gallistercoris PLC267.21
PLC267.4	Phascolarctobacterium faecium	Phascolarctobacterium faecium PLC267.4
PLC267.6	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC267.6
PLC267.8	Collinsella sp902405995	Collinsella sp902405995 PLC267.8
PLC268.19	Oscillospiraceae	Oscillospiraceae PLC268.19
PLC268.2	Collinsella tanakaei	Collinsella tanakaei PLC268.2
PLC268.24	Blautia_A wexlerae	Blautia_A wexlerae PLC268.24
PLC268.25	Acidaminococcus intestini	Acidaminococcus intestini PLC268.25
PLC268.37	Bifidobacterium adolescentis	Bifidobacterium adolescentis PLC268.37
PLC268.4	Mediterraneibacter faecis	Mediterraneibacter faecis PLC268.4
PLC268.40	Corynebacterium glucuronolyticum	Corynebacterium glucuronolyticum PLC268.40
PLC268.41	Fimenecus sp000432435	Fimenecus sp000432435 PLC268.41
PLC268.42	Ligilactobacillus ruminis	Ligilactobacillus ruminis PLC268.42
PLC268.7	Vescimonas coprocola	Vescimonas coprocola PLC268.7
PLC268.8	Finegoldia magna	Finegoldia magna PLC268.8
PLC274.12	Blautia_A wexlerae	Blautia_A wexlerae PLC274.12
PLC274.17	Bifidobacterium longum	Bifidobacterium longum PLC274.17
PLC274.20	Streptococcus pasteurianus	Streptococcus pasteurianus PLC274.20
PLC274.3	Flavonifractor plautii	Flavonifractor plautii PLC274.3
PLC274.5	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC274.5
PLC274.6	Parabacteroides distasonis	Parabacteroides distasonis PLC274.6
PLC275.1	Prevotella copri_B	Prevotella copri_B PLC275.1
PLC275.13	Gemmiger qucibialis	Gemmiger qucibialis PLC275.13
PLC275.3	Streptococcus salivarius	Streptococcus salivarius PLC275.3
PLC275.9	Barnesiella intestinihominis	Barnesiella intestinihominis PLC275.9
PLC280.11	Phascolarctobacterium faecium	Phascolarctobacterium faecium PLC280.11
PLC280.32	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC280.32
PLC280.9	Leuconostoc lactis_A	Leuconostoc lactis_A PLC280.9
PLC285.12	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC285.12
PLC285.15	Gemmiger formicilis	Gemmiger formicilis PLC285.15
PLC285.16	Phocaeicola plebeius_A	Phocaeicola plebeius_A PLC285.16
PLC285.17	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC285.17
PLC285.20	Lachnospirales	Lachnospirales PLC285.20
PLC286.11	Gemmiger formicilis	Gemmiger formicilis PLC286.11
PLC286.14	TANB77	TANB77 PLC286.14
PLC286.22	Prevotella stercorea	Prevotella stercorea PLC286.22
PLC286.23	Prevotella copri_B	Prevotella copri_B PLC286.23
PLC286.24	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens PLC286.24
PLC286.3	Eubacterium_G ventriosum	Eubacterium_G ventriosum PLC286.3
PLC286.4	Collinsella sp900546115	Collinsella sp900546115 PLC286.4
PLC287.27	Roseburia hominis	Roseburia hominis PLC287.27
PLC287.29	Coprococcus eutactus_A	Coprococcus eutactus_A PLC287.29
PLC287.35	Oscillospiraceae	Oscillospiraceae PLC287.35
