user_genome	classification	ID
PLC330.28	Escherichia coli	Escherichia coli PLC330.28
PLC330.9	Barnesiella intestinihominis	Barnesiella intestinihominis PLC330.9
PLC331.13	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC331.13
PLC331.21	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC331.21
PLC331.27	Bifidobacterium longum	Bifidobacterium longum PLC331.27
PLC331.28	Faecalibacterium duncaniae	Faecalibacterium duncaniae PLC331.28
PLC331.29	Enorma massiliensis	Enorma massiliensis PLC331.29
PLC331.30	Agathobacter rectalis	Agathobacter rectalis PLC331.30
PLC331.32	Megamonas funiformis	Megamonas funiformis PLC331.32
PLC331.34	Ruminococcus_C sp000980705	Ruminococcus_C sp000980705 PLC331.34
PLC332.10	Blautia sp000432195	Blautia sp000432195 PLC332.10
PLC332.11	Bifidobacterium longum	Bifidobacterium longum PLC332.11
PLC332.13	Bacteroides fragilis_A	Bacteroides fragilis_A PLC332.13
PLC332.16	Dorea_A longicatena_B	Dorea_A longicatena_B PLC332.16
PLC332.3	Parabacteroides distasonis	Parabacteroides distasonis PLC332.3
PLC332.5	Schaedlerella glycyrrhizinilytica_A	Schaedlerella glycyrrhizinilytica_A PLC332.5
PLC332.9	Rothia mucilaginosa_B	Rothia mucilaginosa_B PLC332.9
PLC333.1	Catenibacterium sp000437715	Catenibacterium sp000437715 PLC333.1
PLC333.11	Ruminiclostridium_E siraeum	Ruminiclostridium_E siraeum PLC333.11
PLC333.12	Christensenellales	Christensenellales PLC333.12
PLC333.13	Collinsella sp003459245	Collinsella sp003459245 PLC333.13
PLC333.2	Acutalibacteraceae	Acutalibacteraceae PLC333.2
PLC333.30	Acutalibacteraceae	Acutalibacteraceae PLC333.30
PLC333.9	Negativibacillus massiliensis	Negativibacillus massiliensis PLC333.9
PLC334.15	Klebsiella variicola	Klebsiella variicola PLC334.15
PLC334.5	Roseburia hominis	Roseburia hominis PLC334.5
PLC334.9	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 PLC334.9
PLC335.1	Ruminococcus_B gnavus	Ruminococcus_B gnavus PLC335.1
PLC335.13	Blautia_A wexlerae	Blautia_A wexlerae PLC335.13
PLC335.2	Providencia rettgeri	Providencia rettgeri PLC335.2
PLC335.4	Proteus mirabilis	Proteus mirabilis PLC335.4
PLC335.8	Enterococcus_C canintestini	Enterococcus_C canintestini PLC335.8
PLC335.9	Veillonella parvula_A	Veillonella parvula_A PLC335.9
PLC337.11	Bilophila wadsworthia	Bilophila wadsworthia PLC337.11
PLC337.13	Agathobacter rectalis	Agathobacter rectalis PLC337.13
PLC337.20	Anaerobutyricum soehngenii	Anaerobutyricum soehngenii PLC337.20
PLC337.22	Eubacterium_R sp000436835	Eubacterium_R sp000436835 PLC337.22
PLC337.24	Gemmiger sp900540595	Gemmiger sp900540595 PLC337.24
PLC337.26	Vescimonas coprocola	Vescimonas coprocola PLC337.26
PLC337.28	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC337.28
PLC337.3	Eubacterium_G ventriosum	Eubacterium_G ventriosum PLC337.3
PLC337.4	Roseburia hominis	Roseburia hominis PLC337.4
PLC339.17	TANB77	TANB77 PLC339.17
PLC339.22	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC339.22
PLC339.23	Christensenellales	Christensenellales PLC339.23
PLC339.25	Oscillospiraceae	Oscillospiraceae PLC339.25
PLC339.27	Collinsella intestinalis	Collinsella intestinalis PLC339.27
PLC339.29	Barnesiella intestinihominis	Barnesiella intestinihominis PLC339.29
PLC339.33	Ruminococcus_E sp003438075	Ruminococcus_E sp003438075 PLC339.33
PLC339.34	Fimenecus sp000432435	Fimenecus sp000432435 PLC339.34
PLC339.35	Anaerotardibacter sp000435475	Anaerotardibacter sp000435475 PLC339.35
PLC340.10	Agathobacter rectalis	Agathobacter rectalis PLC340.10
PLC340.11	Haemophilus_D sp900756875	Haemophilus_D sp900756875 PLC340.11
PLC340.2	Comamonas aquatica	Comamonas aquatica PLC340.2
PLC340.3	Anaerostipes hadrus	Anaerostipes hadrus PLC340.3
PLC340.6	Mediterraneibacter faecis	Mediterraneibacter faecis PLC340.6
PLC341.1	Haemophilus_D sp905205995	Haemophilus_D sp905205995 PLC341.1
PLC341.2	Romboutsia timonensis	Romboutsia timonensis PLC341.2
PLC341.6	Ruminococcus_B gnavus	Ruminococcus_B gnavus PLC341.6
PLC342.15	Parabacteroides distasonis	Parabacteroides distasonis PLC342.15
PLC342.18	Bifidobacterium longum	Bifidobacterium longum PLC342.18
PLC342.9	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC342.9
PLC343.12	Fimenecus sp000432435	Fimenecus sp000432435 PLC343.12
PLC343.14	TANB77	TANB77 PLC343.14
PLC343.15	Comamonas kerstersii	Comamonas kerstersii PLC343.15
PLC343.16	Stenotrophomonas	Stenotrophomonas PLC343.16
PLC343.20	Coprococcus sp000433075	Coprococcus sp000433075 PLC343.20
PLC343.24	Escherichia coli	Escherichia coli PLC343.24
PLC343.7	Agathobacter rectalis	Agathobacter rectalis PLC343.7
PLC343.9	Comamonas thiooxydans	Comamonas thiooxydans PLC343.9
PLC344.2	Fimenecus sp000432435	Fimenecus sp000432435 PLC344.2
PLC344.20	Agathobacter faecis	Agathobacter faecis PLC344.20
PLC344.24	TANB77	TANB77 PLC344.24
PLC344.29	TANB77	TANB77 PLC344.29
PLC344.3	Limosilactobacillus mucosae	Limosilactobacillus mucosae PLC344.3
PLC344.40	Agathobacter rectalis	Agathobacter rectalis PLC344.40
PLC345.1	Mediterraneibacter faecis	Mediterraneibacter faecis PLC345.1
PLC346.10	Christensenellales	Christensenellales PLC346.10
PLC346.13	Acutalibacteraceae	Acutalibacteraceae PLC346.13
PLC346.14	Agathobacter rectalis	Agathobacter rectalis PLC346.14
PLC346.17	Oscillospiraceae	Oscillospiraceae PLC346.17
PLC346.26	Acutalibacter timonensis	Acutalibacter timonensis PLC346.26
PLC346.27	Anaerobutyricum hallii	Anaerobutyricum hallii PLC346.27
PLC346.29	Vescimonas sp000435555	Vescimonas sp000435555 PLC346.29
PLC346.31	Gemmiger qucibialis	Gemmiger qucibialis PLC346.31
PLC346.34	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC346.34
PLC346.35	Anaerostipes hadrus	Anaerostipes hadrus PLC346.35
PLC346.9	Oscillospiraceae	Oscillospiraceae PLC346.9
PLC347.1	Mediterraneibacter faecis	Mediterraneibacter faecis PLC347.1
PLC348.1	Veillonella parvula_A	Veillonella parvula_A PLC348.1
PLC349.1	Holdemanella biformis	Holdemanella biformis PLC349.1
PLC349.11	Collinsella intestinalis	Collinsella intestinalis PLC349.11
PLC349.16	Enterocloster sp900541315	Enterocloster sp900541315 PLC349.16
PLC349.20	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC349.20
PLC349.4	Clostridium_Q fessum	Clostridium_Q fessum PLC349.4
PLC349.6	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC349.6
PLC350.1	Muribaculaceae	Muribaculaceae PLC350.1
PLC350.22	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC350.22
PLC350.23	Faecalibacterium prausnitzii_E	Faecalibacterium prausnitzii_E PLC350.23
PLC350.4	Bacteroides uniformis	Bacteroides uniformis PLC350.4
PLC350.8	Muribaculaceae	Muribaculaceae PLC350.8
PLC351.14	Megamonas funiformis	Megamonas funiformis PLC351.14
PLC351.2	Clostridium_Q sp000435655	Clostridium_Q sp000435655 PLC351.2
PLC351.6	Dorea_A longicatena_B	Dorea_A longicatena_B PLC351.6
PLC352.2	Streptococcus thermophilus	Streptococcus thermophilus PLC352.2
PLC353.1	Alistipes onderdonkii	Alistipes onderdonkii PLC353.1
PLC353.10	Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D PLC353.10
PLC353.13	Phascolarctobacterium faecium	Phascolarctobacterium faecium PLC353.13
PLC353.16	Collinsella sp003436275	Collinsella sp003436275 PLC353.16
PLC353.7	Flavonifractor plautii	Flavonifractor plautii PLC353.7
PLC353.8	Dorea formicigenerans	Dorea formicigenerans PLC353.8
PLC354.24	Agathobacter rectalis	Agathobacter rectalis PLC354.24
PLC354.4	Coprococcus eutactus_A	Coprococcus eutactus_A PLC354.4
PLC354.8	Fimenecus sp000432435	Fimenecus sp000432435 PLC354.8
PLC355.10	Dialister sp900765565	Dialister sp900765565 PLC355.10
PLC355.12	Lachnospira eligens_A	Lachnospira eligens_A PLC355.12
PLC355.16	Acutalibacteraceae	Acutalibacteraceae PLC355.16
PLC355.18	Oscillospiraceae	Oscillospiraceae PLC355.18
PLC355.2	Lachnospira sp000437735	Lachnospira sp000437735 PLC355.2
PLC355.22	Agathobacter faecis	Agathobacter faecis PLC355.22
PLC355.27	Parabacteroides merdae	Parabacteroides merdae PLC355.27
PLC355.30	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC355.30
PLC355.5	TANB77	TANB77 PLC355.5
PLC355.8	Oscillospiraceae	Oscillospiraceae PLC355.8
PLC356.2	Morganella morganii	Morganella morganii PLC356.2
PLC356.3	Haemophilus_D parainfluenzae_J	Haemophilus_D parainfluenzae_J PLC356.3
PLC356.5	Escherichia coli	Escherichia coli PLC356.5
PLC357.12	Desulfovibrio sp900319575	Desulfovibrio sp900319575 PLC357.12
PLC357.15	Eubacterium_G sp000434315	Eubacterium_G sp000434315 PLC357.15
PLC357.18	Vescimonas sp000435555	Vescimonas sp000435555 PLC357.18
PLC357.22	Acutalibacteraceae	Acutalibacteraceae PLC357.22
PLC357.27	Bifidobacterium swidsinskii	Bifidobacterium swidsinskii PLC357.27
PLC357.28	Ruminococcus_E sp905215855	Ruminococcus_E sp905215855 PLC357.28
PLC357.29	Ruminococcus_E sp003438075	Ruminococcus_E sp003438075 PLC357.29
PLC357.6	Eisenbergiella sp900066775	Eisenbergiella sp900066775 PLC357.6
PLC357.8	Christensenellales	Christensenellales PLC357.8
PLC66.1	Agathobacter rectalis	Agathobacter rectalis PLC66.1
PLC66.24	Megamonas funiformis	Megamonas funiformis PLC66.24
PLC81.1	Anaerostipes hadrus	Anaerostipes hadrus PLC81.1
PLC81.17	Collinsella sp905215385	Collinsella sp905215385 PLC81.17
PLC81.19	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC81.19
PLC81.20	Faecalibacterium longum	Faecalibacterium longum PLC81.20
PLC81.21	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC81.21
S33.18	Akkermansia muciniphila	Akkermansia muciniphila S33.18
S33.29	Oscillospiraceae	Oscillospiraceae S33.29
S33.31	Lachnospira rogosae	Lachnospira rogosae S33.31
S33.36	Gemmiger qucibialis	Gemmiger qucibialis S33.36
S33.9	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S33.9
S34.1	Coprococcus eutactus_A	Coprococcus eutactus_A S34.1
S34.19	Acutalibacteraceae	Acutalibacteraceae S34.19
S34.24	Roseburia hominis	Roseburia hominis S34.24
S34.3	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S34.3
S34.30	Wujia chipingensis	Wujia chipingensis S34.30
S34.31	Collinsella sp003469205	Collinsella sp003469205 S34.31
S34.37	Agathobaculum sp003481705	Agathobaculum sp003481705 S34.37
S34.40	Ruminococcus_C sp000433635	Ruminococcus_C sp000433635 S34.40
S36.14	Vescimonas coprocola	Vescimonas coprocola S36.14
S36.16	Coprococcus eutactus	Coprococcus eutactus S36.16
S36.21	Lachnospira eligens_A	Lachnospira eligens_A S36.21
S36.23	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S36.23
S36.24	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S36.24
S36.27	Eisenbergiella sp900066775	Eisenbergiella sp900066775 S36.27
S36.31	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans S36.31
S36.33	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S36.33
S36.6	Vescimonas sp000435555	Vescimonas sp000435555 S36.6
S36.7	Acutalibacteraceae	Acutalibacteraceae S36.7
S37.13	Flavonifractor plautii	Flavonifractor plautii S37.13
S37.15	Amedibacillus dolichus	Amedibacillus dolichus S37.15
S37.5	Anaerobutyricum hallii	Anaerobutyricum hallii S37.5
S38.10	Acutalibacteraceae	Acutalibacteraceae S38.10
S38.11	Paraprevotella clara	Paraprevotella clara S38.11
S38.19	Anaerotardibacter sp900538545	Anaerotardibacter sp900538545 S38.19
S38.25	Enterocloster sp000431375	Enterocloster sp000431375 S38.25
S38.29	Roseburia inulinivorans	Roseburia inulinivorans S38.29
S38.3	Parabacteroides distasonis	Parabacteroides distasonis S38.3
S38.35	Collinsella	Collinsella S38.35
S38.38	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S38.38
S38.5	Clostridium_Q fessum	Clostridium_Q fessum S38.5
S39.10	Bifidobacterium longum	Bifidobacterium longum S39.10
S39.16	Bifidobacterium adolescentis	Bifidobacterium adolescentis S39.16
S39.17	Sutterella wadsworthensis_A	Sutterella wadsworthensis_A S39.17
S39.2	Bacteroides fragilis_A	Bacteroides fragilis_A S39.2
S39.6	Megasphaera sp000417505	Megasphaera sp000417505 S39.6
S40.10	Alistipes putredinis	Alistipes putredinis S40.10
S40.18	Christensenellales	Christensenellales S40.18
S40.19	Agathobaculum sp900544475	Agathobaculum sp900544475 S40.19
S40.20	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S40.20
S40.23	Agathobacter faecis	Agathobacter faecis S40.23
S40.25	Megamonas funiformis	Megamonas funiformis S40.25
S41.13	Parasutterella excrementihominis	Parasutterella excrementihominis S41.13
S41.5	Collinsella sp902364975	Collinsella sp902364975 S41.5
S42.11	Gemmiger formicilis	Gemmiger formicilis S42.11
S42.12	Dorea_A longicatena	Dorea_A longicatena S42.12
S42.14	Weissella halotolerans	Weissella halotolerans S42.14
S42.15	Faecalibacterium duncaniae	Faecalibacterium duncaniae S42.15
S42.17	Schaedlerella glycyrrhizinilytica_A	Schaedlerella glycyrrhizinilytica_A S42.17
S42.22	Ruminococcus_E sp003438075	Ruminococcus_E sp003438075 S42.22
S42.23	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S42.23
S42.25	Rothia mucilaginosa_B	Rothia mucilaginosa_B S42.25
S42.3	Fusobacterium_A sp900543175	Fusobacterium_A sp900543175 S42.3
S42.4	Escherichia coli	Escherichia coli S42.4
S42.5	Ruthenibacterium lactatiformans	Ruthenibacterium lactatiformans S42.5
S43.19	Roseburia intestinalis	Roseburia intestinalis S43.19
S43.2	Anaerobutyricum soehngenii	Anaerobutyricum soehngenii S43.2
S43.7	Lachnospira rogosae	Lachnospira rogosae S43.7
S43.9	Choladocola sp003480725	Choladocola sp003480725 S43.9
S44.13	Paraprevotella clara	Paraprevotella clara S44.13
S44.16	Ruminococcus_B gnavus	Ruminococcus_B gnavus S44.16
S44.23	Paratractidigestivibacter faecalis	Paratractidigestivibacter faecalis S44.23
S44.25	Eubacterium_R sp000436835	Eubacterium_R sp000436835 S44.25
S44.7	Ruminococcus_C callidus	Ruminococcus_C callidus S44.7
S45.1	Christensenellales	Christensenellales S45.1
S45.18	Collinsella sp003439125	Collinsella sp003439125 S45.18
S45.20	Acutalibacteraceae	Acutalibacteraceae S45.20
S45.28	Gastranaerophilaceae	Gastranaerophilaceae S45.28
S45.5	Vescimonas coprocola	Vescimonas coprocola S45.5
S45.7	Oscillospiraceae	Oscillospiraceae S45.7
S45.9	Akkermansia muciniphila	Akkermansia muciniphila S45.9
S46.14	Alistipes onderdonkii	Alistipes onderdonkii S46.14
S46.19	Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D S46.19
S46.21	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S46.21
S46.4	Acutalibacteraceae	Acutalibacteraceae S46.4
S46.5	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S46.5
S46.7	Agathobacter rectalis	Agathobacter rectalis S46.7
S47.11	Clostridia	Clostridia S47.11
S47.18	Lactobacillus delbrueckii_B	Lactobacillus delbrueckii_B S47.18
S47.19	Sodaliphilus sp004557565	Sodaliphilus sp004557565 S47.19
S47.29	Alistipes_A sp900539755	Alistipes_A sp900539755 S47.29
S47.31	Eubacterium_R sp000436835	Eubacterium_R sp000436835 S47.31
S47.6	Limosilactobacillus mucosae	Limosilactobacillus mucosae S47.6
S47.7	RUG12999	RUG12999 S47.7
S48.15	Acutalibacteraceae	Acutalibacteraceae S48.15
S48.18	Desulfovibrio sp900556755	Desulfovibrio sp900556755 S48.18
S48.20	Acutalibacteraceae	Acutalibacteraceae S48.20
S48.22	Anaerotignum faecicola	Anaerotignum faecicola S48.22
S48.23	Acetatifactor sp900066565	Acetatifactor sp900066565 S48.23
S48.26	Fimenecus sp000432435	Fimenecus sp000432435 S48.26
S48.3	Collinsella sp003466125	Collinsella sp003466125 S48.3
S48.9	Oscillospiraceae	Oscillospiraceae S48.9
S49.12	Bifidobacterium longum	Bifidobacterium longum S49.12
S49.14	Flavonifractor plautii	Flavonifractor plautii S49.14
S49.16	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S49.16
S49.19	Acutalibacteraceae	Acutalibacteraceae S49.19
S49.22	Escherichia coli	Escherichia coli S49.22
S49.5	Clostridia	Clostridia S49.5
S49.8	Eisenbergiella sp900066775	Eisenbergiella sp900066775 S49.8
S50.1	Akkermansia muciniphila	Akkermansia muciniphila S50.1
S50.10	Acutalibacteraceae	Acutalibacteraceae S50.10
S50.11	Escherichia coli	Escherichia coli S50.11
S50.12	Bacteroides uniformis	Bacteroides uniformis S50.12
S50.13	Faecousia	Faecousia S50.13
S50.15	Agathobacter rectalis	Agathobacter rectalis S50.15
S50.16	Senegalimassilia anaerobia	Senegalimassilia anaerobia S50.16
S50.17	Vescimonas sp000435555	Vescimonas sp000435555 S50.17
S50.19	Christensenellales	Christensenellales S50.19
S50.20	Coprococcus eutactus_A	Coprococcus eutactus_A S50.20
S50.27	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S50.27
S50.39	Roseburia hominis	Roseburia hominis S50.39
S50.41	Streptococcus	Streptococcus S50.41
S50.43	Gemmiger formicilis	Gemmiger formicilis S50.43
S51.18	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S51.18
S51.20	Agathobacter rectalis	Agathobacter rectalis S51.20
S51.21	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S51.21
S51.3	Gemmiger sp900540595	Gemmiger sp900540595 S51.3
S52.16	Eisenbergiella sp900066775	Eisenbergiella sp900066775 S52.16
S52.17	Collinsella intestinalis	Collinsella intestinalis S52.17
S52.18	Evtepia excrementipullorum	Evtepia excrementipullorum S52.18
S52.22	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S52.22
S52.4	Gemmiger qucibialis	Gemmiger qucibialis S52.4
S52.9	Acutalibacteraceae	Acutalibacteraceae S52.9
S53.14	Mediterraneibacter faecis	Mediterraneibacter faecis S53.14
S53.2	Roseburia sp003470905	Roseburia sp003470905 S53.2
S53.23	Ruminiclostridium_E siraeum	Ruminiclostridium_E siraeum S53.23
S53.3	Lachnospira rogosae	Lachnospira rogosae S53.3
S53.30	Haemophilus_D parainfluenzae	Haemophilus_D parainfluenzae S53.30
S53.4	Acutalibacteraceae	Acutalibacteraceae S53.4
S53.6	Christensenellales	Christensenellales S53.6
S53.7	Eubacterium_R sp000434995	Eubacterium_R sp000434995 S53.7
S53.8	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S53.8
S54.10	Acutalibacteraceae	Acutalibacteraceae S54.10
S54.4	Slackia_A isoflavoniconvertens	Slackia_A isoflavoniconvertens S54.4
S54.6	Parasutterella excrementihominis	Parasutterella excrementihominis S54.6
S55.17	Parasutterella excrementihominis	Parasutterella excrementihominis S55.17
S55.20	Bacteroides uniformis	Bacteroides uniformis S55.20
S56.12	Klebsiella pneumoniae	Klebsiella pneumoniae S56.12
S56.8	Faecalibacterium longum	Faecalibacterium longum S56.8
S57.2	Acutalibacteraceae	Acutalibacteraceae S57.2
S57.27	Collinsella	Collinsella S57.27
S57.28	Anaerostipes hadrus	Anaerostipes hadrus S57.28
S58.1	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S58.1
S58.11	Klebsiella quasipneumoniae	Klebsiella quasipneumoniae S58.11
S58.12	Gemmiger qucibialis	Gemmiger qucibialis S58.12
S58.3	Faecalibacterium longum	Faecalibacterium longum S58.3
S58.6	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S58.6
S59.19	Agathobacter rectalis	Agathobacter rectalis S59.19
S59.2	Acutalibacteraceae	Acutalibacteraceae S59.2
S59.23	Oscillospiraceae	Oscillospiraceae S59.23
S59.4	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S59.4
S59.7	Senegalimassilia anaerobia	Senegalimassilia anaerobia S59.7
S60.10	Faecousia sp900540635	Faecousia sp900540635 S60.10
S60.17	Alistipes_A pullistercoris	Alistipes_A pullistercoris S60.17
S60.28	Faecousia sp900544975	Faecousia sp900544975 S60.28
S60.37	Acutalibacteraceae	Acutalibacteraceae S60.37
S60.42	Wujia chipingensis	Wujia chipingensis S60.42
S60.43	Collinsella sp900540855	Collinsella sp900540855 S60.43
S60.45	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S60.45
S60.49	Fimenecus sp000432435	Fimenecus sp000432435 S60.49
S60.6	Phascolarctobacterium_A succinatutens	Phascolarctobacterium_A succinatutens S60.6
S61.18	Akkermansia muciniphila	Akkermansia muciniphila S61.18
S61.2	Alistipes communis	Alistipes communis S61.2
S61.20	Roseburia hominis	Roseburia hominis S61.20
S61.22	Anaerobutyricum hallii	Anaerobutyricum hallii S61.22
S61.27	Collinsella intestinalis	Collinsella intestinalis S61.27
S61.28	Gemmiger sp900539695	Gemmiger sp900539695 S61.28
S61.31	Escherichia coli	Escherichia coli S61.31
S61.33	Agathobacter rectalis	Agathobacter rectalis S61.33
S61.34	Ruminococcus_C sp000433635	Ruminococcus_C sp000433635 S61.34
S61.36	Bifidobacterium bifidum	Bifidobacterium bifidum S61.36
S61.39	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S61.39
S61.4	Lawsonibacter sp900066825	Lawsonibacter sp900066825 S61.4
S61.41	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S61.41
S61.42	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S61.42
S62.11	Roseburia hominis	Roseburia hominis S62.11
S62.19	Alistipes communis	Alistipes communis S62.19
S62.2	Eubacterium_R sp000434995	Eubacterium_R sp000434995 S62.2
S62.23	Evtepia sp004554585	Evtepia sp004554585 S62.23
S62.26	Escherichia coli	Escherichia coli S62.26
S62.28	Collinsella sp003459245	Collinsella sp003459245 S62.28
S62.34	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S62.34
S62.7	Alistipes_A ihumii	Alistipes_A ihumii S62.7
S63.14	Eubacterium_R sp000433975	Eubacterium_R sp000433975 S63.14
S63.17	Collinsella intestinalis	Collinsella intestinalis S63.17
S63.25	Ligilactobacillus ruminis	Ligilactobacillus ruminis S63.25
S63.26	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S63.26
S63.28	Bifidobacterium adolescentis	Bifidobacterium adolescentis S63.28
S64.14	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S64.14
S64.17	Escherichia coli	Escherichia coli S64.17
S64.24	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S64.24
S64.25	Paraprevotella xylaniphila	Paraprevotella xylaniphila S64.25
S64.31	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S64.31
S64.33	Eubacterium_R sp000436835	Eubacterium_R sp000436835 S64.33
S65.10	Bifidobacterium bifidum	Bifidobacterium bifidum S65.10
S65.2	Anaerostipes hadrus	Anaerostipes hadrus S65.2
S65.3	Collinsella sp900551195	Collinsella sp900551195 S65.3
S65.7	Roseburia inulinivorans	Roseburia inulinivorans S65.7
S65.8	Faecalibacterium longum	Faecalibacterium longum S65.8
S66.10	Agathobacter rectalis	Agathobacter rectalis S66.10
S66.11	Acutalibacteraceae	Acutalibacteraceae S66.11
S66.12	Oscillospiraceae	Oscillospiraceae S66.12
S66.16	Parabacteroides distasonis	Parabacteroides distasonis S66.16
S66.19	Wujia chipingensis	Wujia chipingensis S66.19
S66.20	UMGS1820 sp900555375	UMGS1820 sp900555375 S66.20
S66.22	Prevotella stercorea	Prevotella stercorea S66.22
S66.28	Acutalibacteraceae	Acutalibacteraceae S66.28
S66.30	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 S66.30
S67.1	Clostridia	Clostridia S67.1
S67.11	Roseburia inulinivorans	Roseburia inulinivorans S67.11
S67.12	Catenibacterium mitsuokai	Catenibacterium mitsuokai S67.12
S67.19	Bacteroides caccae	Bacteroides caccae S67.19
S67.21	Senegalimassilia anaerobia	Senegalimassilia anaerobia S67.21
S67.22	Collinsella sp003439125	Collinsella sp003439125 S67.22
S68.10	Agathobaculum sp900291975	Agathobaculum sp900291975 S68.10
S68.14	Anaerotignum faecicola	Anaerotignum faecicola S68.14
S68.17	Gordonibacter pamelaeae	Gordonibacter pamelaeae S68.17
S68.22	Clostridium_AP sp000509125	Clostridium_AP sp000509125 S68.22
S68.23	Paraeggerthella hongkongensis_A	Paraeggerthella hongkongensis_A S68.23
S68.24	Blautia_A massiliensis	Blautia_A massiliensis S68.24
S68.37	Mediterraneibacter faecis	Mediterraneibacter faecis S68.37
S68.8	Lentihominibacter excrementigallinarum	Lentihominibacter excrementigallinarum S68.8
S69.25	Agathobacter rectalis	Agathobacter rectalis S69.25
S69.28	Holdemanella sp900556915	Holdemanella sp900556915 S69.28
S69.29	Lachnospirales	Lachnospirales S69.29
S69.3	Eggerthella lenta	Eggerthella lenta S69.3
S69.33	Acutalibacteraceae	Acutalibacteraceae S69.33
S69.34	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S69.34
S69.35	Acutalibacteraceae	Acutalibacteraceae S69.35
S69.36	Bifidobacterium longum	Bifidobacterium longum S69.36
S69.4	Adlercreutzia equolifaciens	Adlercreutzia equolifaciens S69.4
S69.9	Clostridia	Clostridia S69.9
S70.1	Plesiomonas shigelloides	Plesiomonas shigelloides S70.1
S70.12	Acetatifactor sp900066565	Acetatifactor sp900066565 S70.12
S70.19	Faecalibacterium longum	Faecalibacterium longum S70.19
S70.20	Flavonifractor plautii	Flavonifractor plautii S70.20
S70.22	Eubacterium_R sp000436835	Eubacterium_R sp000436835 S70.22
S70.25	Faecalimonas phoceensis	Faecalimonas phoceensis S70.25
S70.27	Escherichia coli	Escherichia coli S70.27
S70.31	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B S70.31
S70.8	Bacteroides uniformis	Bacteroides uniformis S70.8
S70.9	TANB77	TANB77 S70.9
S71.1	Megasphaera sp000417505	Megasphaera sp000417505 S71.1
S71.14	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans S71.14
S71.21	Prevotella hominis	Prevotella hominis S71.21
S71.29	Collinsella sp900540875	Collinsella sp900540875 S71.29
S71.35	Anaerobutyricum soehngenii	Anaerobutyricum soehngenii S71.35
S71.37	Fimenecus sp000432435	Fimenecus sp000432435 S71.37
S71.42	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum S71.42
S72.10	Bilophila wadsworthia	Bilophila wadsworthia S72.10
S72.13	Akkermansia muciniphila	Akkermansia muciniphila S72.13
S72.2	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens S72.2
S72.21	Coprococcus sp900066115	Coprococcus sp900066115 S72.21
S72.23	Vescimonas coprocola	Vescimonas coprocola S72.23
